artist,year,title,musicbrainz_id,cover_filename
Bruce Springsteen,1978,Darkness on the Edge of Town,b613123b-a234-3f48-9c45-e05bf4e6b9e7,bruce_springsteen_1978_darkness_on_the_edge_of_town.jpg
Bruce Springsteen,1980,The River,8a6f6ede-b60a-3cad-b3b9-cfb57e9e1dbd,bruce_springsteen_1980_the_river.jpg
Bruce Springsteen,1982,Nebraska,324aee0c-36ec-35c1-9c93-b67a1d428037,bruce_springsteen_1982_nebraska.jpg
Bruce Springsteen,1984,Born in the U.S.A.,3c39a076-8e52-38f2-8076-260d0672fb23,bruce_springsteen_1984_born_in_the_u_s_a.jpg
Bruce Springsteen,1987,Tunnel of Love,b3559cb2-d7ad-32eb-a17e-54a873ce4122,bruce_springsteen_1987_tunnel_of_love.jpg
Bruce Springsteen,1992,Human Touch,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,bruce_springsteen_1992_human_touch.jpg
Bruce Springsteen,1992,Lucky Town,c0e8b10a-9478-30ea-a299-90ab2b703ab0,bruce_springsteen_1992_lucky_town.jpg
Bruce Springsteen,1995,The Ghost of Tom Joad,46ab3187-496d-3565-900e-57d89bacd22c,bruce_springsteen_1995_the_ghost_of_tom_joad.jpg
Bruce Springsteen,2002,The Rising,d19453c0-cd72-3468-b110-0f898c111e5e,bruce_springsteen_2002_the_rising.jpg
Bruce Springsteen,2005,Devils & Dust,d5f992ab-6238-3b28-bf2b-7b16d913c9f6,bruce_springsteen_2005_devils_dust.jpg
Bruce Springsteen,2006,We Shall Overcome: The Seeger Sessions,602387fa-a76f-3895-9039-1c812c6cb28c,bruce_springsteen_2006_we_shall_overcome_the_seeger_sessions.jpg
Bruce Springsteen,2007,Magic,5af7998f-9b53-3ebb-8f09-ebfbca703a59,bruce_springsteen_2007_magic.jpg
Bruce Springsteen,2008,Working on a Dream,9cec178a-f785-33c5-8888-63ba27efca4c,bruce_springsteen_2008_working_on_a_dream.jpg
Bruce Springsteen,2012,Wrecking Ball,d875c2f0-27d5-4946-81f9-3ebaf6636ccd,bruce_springsteen_2012_wrecking_ball.jpg
Bruce Springsteen,2014,High Hopes,e9afb320-60f4-42b1-bc4d-49d7d2e49010,bruce_springsteen_2014_high_hopes.jpg
Bruce Springsteen,2019,Western Stars,c0ae827c-bb5b-4c98-ab3a-1d9573c110ac,bruce_springsteen_2019_western_stars.jpg
Bruce Springsteen,2020,Letter to You,48e335f3-8e4a-4e38-b2df-e1514b9f9126,bruce_springsteen_2020_letter_to_you.jpg
Bruce Springsteen,2022,"Only the Strong Survive: Covers, Vol. 1",d6c1b942-edc7-4bca-bd34-6c43760272af,bruce_springsteen_2022_only_the_strong_survive_covers_vol_1.jpg
