Artist 1,Album 1,Artist 2,Album 2,Similarity
Bruce Springsteen,Nebraska (1982),BTS,DARK&WILD (2014),74.1
Queen,The Game (1980),Taylor Swift,evermore (2020),74.0
Kodak Black,Trill Bill (2024),Taylor Swift,evermore (2020),73.9
BTS,DARK&WILD (2014),Taylor Swift,Red (2012),73.6
Queen,The Works (1984),Kodak Black,Kodak The Blessing (2026),73.4
Bruce Springsteen,Letter to You (2020),Taylor Swift,folklore (2020),73.3
Kodak Black,Just Getting Started (2025),Taylor Swift,Red (2012),73.3
Queen,Queen II (1974),Queen,The Works (1984),73.2
Queen,A Day at the Races (1976),Queen,The Works (1984),73.0
Bruce Springsteen,High Hopes (2014),Taylor Swift,Taylor Swift (2006),73.0
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Kodak Black,Kodak The Blessing (2026),72.9
Queen,A Day at the Races (1976),Taylor Swift,Red (2012),72.8
Bruce Springsteen,Tunnel of Love (1987),Taylor Swift,1989 (2014),72.8
Queen,The Works (1984),Bruce Springsteen,Letter to You (2020),72.7
Queen,Made in Heaven (1995),Bruce Springsteen,High Hopes (2014),72.6
Queen,Made in Heaven (1995),Bruce Springsteen,The River (1980),72.4
Queen,Made in Heaven (1995),Kodak Black,Trill Bill (2024),72.3
Taylor Swift,Speak Now (2010),Taylor Swift,1989 (2014),72.3
Bruce Springsteen,High Hopes (2014),Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),72.2
Bruce Springsteen,Letter to You (2020),Taylor Swift,The Vault (deluxe) (2021),72.1
Bruce Springsteen,The River (1980),Bruce Springsteen,Human Touch (1992),72.0
Bruce Springsteen,High Hopes (2014),BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),72.0
Queen,Queen II (1974),Taylor Swift,Red (2012),71.9
Bruce Springsteen,Letter to You (2020),Taylor Swift,Red (Taylor’s Version) (2021),71.8
Queen,The Game (1980),Bruce Springsteen,Nebraska (1982),71.7
Queen,The Works (1984),Bruce Springsteen,Tunnel of Love (1987),71.7
Queen,A Kind of Magic (1986),Bruce Springsteen,Nebraska (1982),71.6
